id;start_date;end_date;language
1;2023-04-10T22:15:28;2023-04-10T20:05:43;ENGLISH
2;2023-04-10T07:43:03;2023-04-10T17:08:32;FRENCH
3;2023-04-10T17:39:15;2023-04-10T05:44:23;SPANISH
4;2023-04-10T22:10:04;2023-04-10T03:36:23;FRENCH
5;2023-04-11T00:26:27;2023-04-10T08:45:25;ENGLISH
6;2023-04-10T09:57:10;2023-04-10T23:57:30;SPANISH
7;2023-04-10T18:00:58;2023-04-10T04:35:07;FRENCH
8;2023-04-10T08:26:51;2023-04-10T05:02:40;FRENCH
9;2023-04-10T09:18:29;2023-04-10T20:49:55;FRENCH
10;2023-04-10T05:15:27;2023-04-10T22:12:56;FRENCH
